Actor,Character,Family,Description
"House Stark
Sean Bean",Lord Eddard Stark,Stark,Lord of Winterfell.
Michelle Fairley,Lady Catelyn Stark,Stark,originally of House Tully.
Richard Madden,Robb Stark,Stark,Eddard's eldest son and heir.
Sophie Turner,Sansa Stark,Stark,Eddard's eldest daughter.
Maisie Williams,Arya Stark,Stark,Eddard's youngest daughter.
Wright,Bran Stark,Stark,Eddard's middle son.
Art Parkinson,Rickon Stark,Stark,Eddard's youngest son.
Kit Harington,Jon Snow,Unknown,Eddard's bastard son by an unknown mother.
Joseph Mawle,Benjen Stark,Stark,"Eddard's younger brother, First Ranger of the Night's Watch."
"Retainers at Winterfell
Alfie Allen",Theon Greyjoy,Greyjoy,a ward and hostage for his rebellious father's good behavior.
Ron Donachie,Ser Rodrik Cassel,Unknown,master of arms.
Jamie Sives,Jory Cassel,Unknown,"Rodrik's nephew, captain of the guards."
Donald Sumpter,Maester Luwin,Unknown,a maester of the Citadel.
Kristian Nairn,Hodor,Unknown,a simple stableboy.
Margaret John,Old Nan,Unknown,a retired servant and Hodor's great-grandmother.
Susan Brown,Septa Mordane,Unknown,a religious tutor and governess to Arya and Sansa.
Esmé Bianco,Ros,Unknown,a prostitute working in Winterfell's outlying town.
"Vassals and allies of House Stark
Clive Mantle",Lord Greatjon Umber,Unknown,"Lord of Last Hearth, a loyal vassal of House Stark."
Dean S. Jagger,Smalljon Umber,Unknown,Greatjon Umber's son and heir.
Harry Grasby,Ned Umber,Unknown,Smalljon Umber's son.
John Stahl,Lord Rickard Karstark,Unknown,"Lord of Karhold, a vassal and distant kinsman of House Stark."
Paul Rattray,Harald Karstark,Unknown,Lord Rickard's son.
Megan Parkinson,Alys Karstark,Unknown,Harald Karstark's daughter.
Bella Ramsey,Lady Lyanna Mormont,Mormont,Lady of Bear Island.
Tim McInnerny,Lord Robett Glover,Unknown,the Master of Deepwood Motte.
Tom Varey,Lord Cley Cerwyn,Unknown,the heir to House Cerwyn.
Sean Blowers,Lord Wyman Manderly,Unknown,"Lord of White Harbor, a powerful and loyal vassal of House Stark."
Sangster,Jojen Reed,Unknown,"the son and heir of Lord Howland Reed, one of Eddard Stark's closest friends and allies."
Ellie Kendrick,Meera Reed,Unknown,Jojen's older sister.
"House Bolton
Michael McElhatton",Lord Roose Bolton,Bolton,"Lord of the Dreadfort, a vassal of Eddard Stark."
Iwan Rheon,Ramsay Snow,Unknown,Lord Roose's bastard son.
Noah Taylor,Locke,Unknown,a vassal and hunter in Lord Bolton's service.
Charlotte Hope,Myranda,Unknown,"the kennel master's daughter at the Dreadfort, and Ramsay's bedwarmer."
Richard Rycroft,Maester Wolkan,Unknown,a maester in service to House Bolton.
Jamie Michie,Steelshanks,Unknown,a man-at-arms in service to House Bolton.
